name,proportion_male,proportion_female,gender
Fredric,1,0,male
Fritzi,0,1,female
Gabor,1,0,male
Gabriel,0.9707,0.0293,male
Gabriela,0.0059,0.9941,female
Gabriella,8e-4,0.9992,female
Gail,0.0251,0.9749,female
Garland,0.9674,0.0326,male
Garrett,0.9959,0.0041,male
Gary,0.9963,0.0037,male
Gaurav,1,0,male
Gemma,0,1,female
Geoffrey,0.9972,0.0028,male
George,0.9932,0.0068,male
Gerald,0.9947,0.0053,male
Gerd,1,0,male
Geronimo,1,0,male
Gerrad,1,0,male
Gigi,0,1,female
Gilad,1,0,male
Gillian,0.0034,0.9966,female
Gina,0.0025,0.9975,female
Giovanna,0,1,female
Giselle,0.0021,0.9979,female
Gita,0,1,female
Glenda,0.0026,0.9974,female
Glenn,0.9933,0.0067,male
Gloria,0.0043,0.9957,female
Goran,1,0,male
Gordon,0.9968,0.0032,male
Govinda,1,0,male
Grace,0.0023,0.9977,female
Graham,0.9965,0.0035,male
Grant,0.9978,0.0022,male
Grayson,0.8782,0.1218,male
Greg,0.998,0.002,male
Gregory,0.9956,0.0044,male
Gretchen,8e-4,0.9992,female
Guenter,1,0,male
Guillaume,1,0,male
Guillermo,0.9968,0.0032,male
Gurpreet,0.6216,0.3784,male
Gwenette,0,1,female
Hadi,1,0,male
Hailey,0.0019,0.9981,female
Halene,0,1,female
Haley,0.005,0.995,female
Hallie,0.026,0.974,female
Hank,1,0,male
Hanna,0.0038,0.9962,female
Hannah,0.0018,0.9982,female
Harish,1,0,male
Harold,0.9955,0.0045,male
Harriet,0.0012,0.9988,female
Hayley,0.0011,0.9989,female
Heath,0.9922,0.0078,male
Heather,0.0027,0.9973,female
Hector,0.9937,0.0063,male
Heidi,0.0026,0.9974,female
Helen,0.0036,0.9964,female
Henry,0.9929,0.0071,male
Hilary,0.049,0.951,female
Hillary,0.029,0.971,female
Hisham,1,0,male
Hoang,0.9245,0.0755,male
Holly,0.0051,0.9949,female
Hong,0.2645,0.7355,female
Howard,0.9956,0.0044,male
Hoyt,1,0,male
Hugh,0.9974,0.0026,male
Hung,1,0,male
Hussein,1,0,male
Huxley,1,0,male
Iain,1,0,male
Ian,0.9956,0.0044,male
Ina,0.0013,0.9987,female
Ingrid,8e-4,0.9992,female
Irem,0,1,female
Irene,0.004,0.996,female
Isaac,0.9957,0.0043,male
Isis,9e-4,0.9991,female
Islam,0.7475,0.2525,male
Ivan,0.9933,0.0067,male
Ivory,0.5139,0.4861,male
Ivy,0.0693,0.9307,female
Izabela,0,1,female
Jack,0.9967,0.0033,male
Jacki,0,1,female
Jackie,0.4413,0.5587,female
Jackson,0.9961,0.0039,male
Jacob,0.9969,0.0031,male
Jacqueline,0.0033,0.9967,female
Jade,0.0833,0.9167,female
Jaime,0.5275,0.4725,male
Jake,0.9977,0.0023,male
Jalen,0.9511,0.0489,male
Jamar,0.9936,0.0064,male
James,0.9956,0.0044,male
Jami,0.0374,0.9626,female
Jamie,0.2295,0.7705,female
Jamon,0.9969,0.0031,male
Jan,0.2565,0.7435,female
Jana,9e-4,0.9991,female
Jandi,0,1,female
Jane,0.0029,0.9971,female
Janean,0,1,female
Janell,0.0015,0.9985,female
Janet,0.0026,0.9974,female
Janice,0.0027,0.9973,female
Janine,3e-4,0.9997,female
Jared,0.9957,0.0043,male
Jarrod,0.9972,0.0028,male
Jasmine,0.0057,0.9943,female
Jason,0.9946,0.0054,male
Jasper,0.9738,0.0262,male
Javier,0.9931,0.0069,male
Jay,0.9876,0.0124,male
Jaycee,0.1598,0.8402,female
